app_name	HueMore
action_settings	Einstellungen
action_register_with_hub	Registriere mit Bridge
action_unlocks	Entsperren
cap_moods	SZENEN
cap_manual	MANUELL
cap_groups	GRUPPEN
cap_bulbs	LAMPEN
groups	Gruppen
moods	Szenen
mood_intro	Szene:
group_intro	Gruppe:
accept	OK
cancel	Abbrechen
register_success	Verbindung erfolgreich
register_fail	Konnte nicht mit der Bridge verbunden werden. Stelle sicher dass dieses GerÑt mit demselben WiFi verbunden ist wie die Bridge und Internetzugriff hat. Versuche es dann noch einmal.
link_prompt	DrÅcke die Link Taste auf der Bridge.
manual_ip_prompt	Gebe die Bridge IP Adresse ein
advanced	Fortgeschritten
auto_discover	Automatisch verbinden
contextmenu_delete	Lîschen
contextmenu_edit	éndern
actionmenu_new_group	Neue Gruppe
actionmenu_new_mood	Neue Szene
actionmenue_new_alarm	Neuer Alarm
hint_mood_name	Szenenname
hint_group_name	Gruppenname
brightness	Helligkeit
saturation	SÑttigung
temperature	Farbtemperatur (K)
add_color	Farbe hinzufÅgen
toggleColorLoop	Farbschlaufe:
promp_first_view_setting	Standard StartmenÅ
promp_second_view_setting	Standard EinstellungsmenÅ
rate_on_google_play	Bewerten in Google Play
unlock_pro_prompt	Pro Version freischalten!
unlock_pro_already	Du hast bereits die Pro Version!
unlock_pro_descriptor	Die Pro Version schaltet Alarme und NFC FunktionalitÑten frei.
nfc	Nfc
cap_nfc	NFC
nfc_tag_detected	Tag erkannt
nfc_tag_not_detected	Tag nicht gefunden
nfc_tag_write_prompt	Auf Tag schreiben
nfc_tag_write_success	Auf Tag gespeichert
nfc_tag_write_fail	Speicherung auf Tag fehlgeschlagen
nfc_disabled	NFC ist nicht eingeschalten. Aktiviere es in den GerÑteeinstellungen.
nfc_read_done	Fertig
nfc_tag_read_success	NFC Tag gelesen
alarms	Alarme
cap_alarms	ALARME
transition_intro	Einblenden:
alarm_repeat	Wiederholen:
cap_short_every_day	TéGLICH
next_scheduled_intro	NÑchster Alarm
transition_names_array	Nicht
transition_names_array	1 Sekunde
transition_names_array	10 Sekunden
transition_names_array	1 Minute
transition_names_array	10 Minuten
repeat_days	Sonntag
repeat_days	Montag
repeat_days	Dienstag
repeat_days	Mittwoch
repeat_days	Donnerstag
repeat_days	Freitag
repeat_days	Samstag
cap_short_repeat_days	SO
cap_short_repeat_days	MO
cap_short_repeat_days	DI
cap_short_repeat_days	MI
cap_short_repeat_days	DO
cap_short_repeat_days	FR
cap_short_repeat_days	SA
