app_name	HueMore
action_settings	Settings
action_register_with_hub	Register With Hub
action_unlocks	Unlocks
cap_moods	MOODS
cap_manual	MANUAL
cap_groups	GROUPS
cap_bulbs	BULBS
groups	Groups
moods	Moods
mood_intro	Mood:
group_intro	Group:
accept	Okay
cancel	Cancel
register_success	Link successful
register_fail	"Could not connect to bridge. Please make sure this device is connected to the same wifi as the hub and has internet access, then try again."
link_prompt	Press the link button on your hub
manual_ip_prompt	Enter the hub IP address
advanced	Advanced
auto_discover	Auto-Connect
contextmenu_delete	Delete
contextmenu_edit	Edit
actionmenu_new_group	New Group
actionmenu_new_mood	New Mood
actionmenue_new_alarm	New Alarm
hint_mood_name	mood name
hint_group_name	group name
brightness	Brightness
saturation	Saturation
temperature	Color Temperature (K)
add_color	Add Color
toggleColorLoop	Loop Colors :
promp_first_view_setting	Default home screen
promp_second_view_setting	Default second screen
rate_on_google_play	Rate on Google Play
unlock_pro_prompt	Unlock Pro Version!
unlock_pro_already	You already have the Pro Version!
unlock_pro_descriptor	Pro version enables Alarms and NFC features.
nfc	Nfc
cap_nfc	NFC
nfc_tag_detected	Tag Detected
nfc_tag_not_detected	Tag Not Found
nfc_tag_write_prompt	Write to Tag
nfc_tag_write_success	Saved to Tag
nfc_tag_write_fail	Save to Tag Failed
nfc_disabled	NFC is not enabled. Turn it on in your device settings.
nfc_read_done	Done
nfc_tag_read_success	NFC tag read
alarms	Alarms
cap_alarms	ALARMS
transition_intro	Fade In:
alarm_repeat	Repeat:
cap_short_every_day	EVERY DAY
next_scheduled_intro	Next alarm
transition_names_array	None
transition_names_array	1 Second
transition_names_array	10 Seconds
transition_names_array	1 Minute
transition_names_array	10 Minutes
repeat_days	Sunday
repeat_days	Monday
repeat_days	Tuesday
repeat_days	Wednesday
repeat_days	Thursday
repeat_days	Friday
repeat_days	Saturday
cap_short_repeat_days	SUN
cap_short_repeat_days	MON
cap_short_repeat_days	TUE
cap_short_repeat_days	WED
cap_short_repeat_days	THU
cap_short_repeat_days	FRI
cap_short_repeat_days	SAT
